,Gross Profit Growth,Gross Margin,Intangibles to Total Assets,Net Income,assetTurnover,Revenue,Interest Expense,Debt to Assets,R&D Expenses,SG&A Expense,Revenue Growth
44,0.0009,1.0,0.0,-27017000.0,0.0057533300230997,1066000.0,0.0,0.0,13432000.0,18707000.0,0.0009
111,0.2403,0.3229,0.4156,31812000.0,0.6916748954513801,950528000.0,21704000.0,0.3457,0.0,211057000.0,0.2415
123,0.4504,0.3011,0.0873,-321421000.0,0.60824104283359,3326997000.0,51578000.0,0.2046,0.0,134071000.0,0.4117
181,-0.0119,0.3126,0.0268,175402000.0,1.4346729688724,1721005000.0,489000.0,0.0,0.0,168151000.0,0.0788
207,0.1224,0.5554,0.0837,22844000.0,0.42857257326007,374401000.0,2916000.0,0.0432,13728000.0,117477000.0,-0.0167
278,0.1107,1.0,0.0,219986000.0,0.056770462216182,289292000.0,0.0,0.485,0.0,56894000.0,0.1107
282,-0.122,0.3727,0.0,427115000.0,0.12272122949358,794012000.0,41187000.0,0.1954,0.0,51650000.0,-0.0584
291,0.3354,1.0,0.1165,-67657000.0,0.092166823011617,15622000.0,2933000.0,0.2631,35147000.0,29431000.0,0.3354
316,0.0574,0.3419,0.2404,185900000.0,0.53054452483273,975300000.0,39200000.0,0.446,0.0,159000000.0,0.0914
341,0.2555,0.6944,0.0,248827000.0,0.6840961942167599,580706000.0,48645000.0,0.7463,0.0,60147000.0,0.1922
373,0.1869,1.0,0.0,487476000.0,0.041906214814357,1116305000.0,0.0,0.1608,0.0,252346000.0,0.1869
375,0.1343,0.2762,0.4478,55505000.0,2.2984981595159,1677837000.0,8716000.0,0.1381,0.0,24227000.0,0.2677
431,0.2685,0.5878,0.2392,47362000.0,0.62175106119585,229525000.0,0.0,0.0,27385000.0,48250000.0,0.2868
442,0.3083,1.0,0.0,285078000.0,0.0274053862570089,396484000.0,0.0,0.7579,0.0,35529000.0,0.3083
452,0.0111,0.2631,0.0103,394600000.0,1.1249005568815,2828000000.0,15800000.0,0.14,0.0,209300000.0,0.0344
473,0.2728,1.0,0.0,180015000.0,0.0616854608224109,386945000.0,0.0,0.71,0.0,81813000.0,0.2728
496,0.0151,0.4609,0.0,-11420000.0,0.1588004085296,41048000.0,9662000.0,0.5441,0.0,6997000.0,0.0428
507,0.5027,0.3356,0.0222,482672000.0,0.4002125870111099,2487268000.0,24265000.0,0.0795,18167000.0,199257000.0,0.3782
533,0.0311,0.6439,0.0941,-4460000.0,0.15741749823286,450524000.0,28749000.0,0.47,0.0,80857000.0,0.009
542,-0.336,0.0677,0.1462,-212327000.0,0.67592331038818,1909482000.0,37742000.0,0.2784,0.0,198259000.0,-0.0063
545,0.2899,1.0,0.0654,300403000.0,0.0430992107270749,659523000.0,0.0,0.1297,0.0,191933000.0,0.2899
556,0.0954,0.2828,0.2215,80093000.0,0.8896240468755201,1612408000.0,33371000.0,0.4532,0.0,278566000.0,0.1544
560,-0.1961,0.1579,0.0528,76586000.0,1.0659997988008,2808062000.0,32181000.0,0.1182,0.0,244221000.0,-0.0163
567,-0.0301,1.0,0.0038,202576000.0,0.025852979266315,678098000.0,0.0,0.2122,0.0,342659000.0,-0.0301
569,0.0536,0.655,0.0,25630000.0,0.13937753609278,336890000.0,51144000.0,0.5096,0.0,22089000.0,0.0363
592,0.1856,1.0,0.0258,164927000.0,0.041533685320323,522211000.0,0.0,0.034,0.0,253020000.0,0.1856
623,-0.1652,1.0,0.0041,45472000.0,0.026319307300697,279776000.0,0.0,0.1593,0.0,195088000.0,-0.1652
627,0.1802,1.0,0.0,57923000.0,0.12149374265538,156941000.0,27860000.0,0.3791,0.0,12555000.0,0.1802
628,0.0572,1.0,0.0,154333000.0,0.10710943549882,294612000.0,49055000.0,0.466,0.0,12547000.0,0.0572
637,0.1258,0.2147,0.0413,269911000.0,0.84000424282665,3262747000.0,0.0,0.3632,0.0,342297000.0,0.161
641,-0.0292,0.5438,0.0,250445000.0,0.29174470711455,1159053000.0,47690000.0,0.2527,0.0,300603000.0,-0.0289999999999999
651,0.0281,0.3402,0.057,366604000.0,0.8363539712738,2002857000.0,40218000.0,0.2979,0.0,68298000.0,0.115
665,0.3387,1.0,0.0,198932000.0,0.0447941575167549,548440000.0,0.0,0.0877,0.0,275741000.0,0.3387
667,0.2838,0.205,0.0,210780000.0,1.0213719941208002,3065216000.0,0.0,0.3731,0.0,329801000.0,0.1892
670,0.2601,0.3287,0.5144,54989000.0,0.5547334397756899,598290000.0,11310000.0,0.2225,0.0,113442000.0,0.1479
676,0.3471,0.1487,0.5135,102357000.0,1.9174932615837,2016829000.0,18246000.0,0.2771,0.0,130116000.0,0.3036
704,0.5324,0.7713,0.0612,102616000.0,0.36588145896657,613431000.0,27364000.0,0.2382,0.0,39483000.0,0.4545
734,0.2031,0.5997,0.0385,-6516000.0,0.12445264480881,130113000.0,43612000.0,0.4433,0.0,55443000.0,0.1549
742,0.0509,0.6990000000000001,0.0082,9491000.0,0.071380809694698,297943000.0,56499000.0,0.3172,0.0,36087000.0,0.0309
749,-0.0551,0.83,0.1137,-132617160.0,0.0759466081022259,16099460.0,4677834.0,0.3462,27299138.0,115988954.0,-0.0404
753,0.0,0.0,0.0,-112765000.0,0.0,0.0,0.0,0.3698,0.0,18493000.0,0.0
754,-0.0695,0.3046,0.0,-3531000.0,2.3538436603974,987581000.0,3374000.0,0.172,0.0,302076000.0,-0.0218
801,0.0993,0.3598,0.2674,50253000.0,0.91821002550123,1179573000.0,15436000.0,0.4815,0.0,327449000.0,0.1838
804,-0.0259,0.4262,0.0181,157392000.0,1.6957241234453002,2260502000.0,5900000.0,0.0075,0.0,141533000.0,-0.0067
